image,resolution,F,d,time_ms
gradient.bmp,1000×600,8,4,129.40289999824017
gradient.bmp,1000×600,8,8,129.7807000009925
gradient.bmp,1000×600,8,12,139.09829999829526
gradient.bmp,1000×600,8,14,136.8810999993002
bridge.bmp,2749×4049,8,4,4144.034699998883
bridge.bmp,2749×4049,8,8,4183.394799998496
bridge.bmp,2749×4049,8,12,4136.287000001175
bridge.bmp,2749×4049,16,16,2470.949300000939
shoe.bmp,260×260,8,4,17.04559999780031
shoe.bmp,260×260,8,8,14.551300002494827
shoe.bmp,260×260,8,12,15.51850000032573
shoe.bmp,260×260,4,6,52.20789999657427
